latitude,longitude,cone,type
42.393204,-72.529312,0,T
42.393230,-72.529427,0,T
42.393364,-72.529495,0,T
42.393505,-72.529587,0,T
42.393797,-72.529686,0,T
42.393797,-72.529770,0,T
42.393925,-72.529770,0,T
42.394077,-72.529930,0,T
42.394110, -72.529905,1,W
42.394077,-72.529930,0,T
42.394131,-72.529968,0,T
42.394154,-72.529984,0,T
42.394085,-72.530174,0,T
42.394012,-72.530357,0,T
42.393986,-72.530403,0,T
42.393959,-72.530464,0,T
42.394123,-72.530563,0,T
42.394333,-72.530678,0,T
42.394859,-72.530960,0,T

